epoch,total,recon,phys,lambda_phys,K_pred_mean,Flow_pred_mean,Por_pred_mean,Por_proxy_mean,GradNorm
1,340.6460266113281,0.13931617140769958,525.856689453125,0.6475275478309734,0.9418575167655945,-0.011027236469089985,-0.0334082767367363,0.9999570846557617,0.0014742226321745582
2,417.4076843261719,0.13932068645954132,528.0416870117188,0.79021856735772,0.9423339366912842,-0.011052608489990234,-0.03329957276582718,0.9999521970748901,0.0009951792498788029
3,492.0323791503906,0.139317125082016,529.9249267578125,0.9282316188381822,0.942138671875,-0.011073313653469086,-0.033465683460235596,0.9999576807022095,0.0017861116257521766
4,566.8482666015625,0.1393219232559204,533.7649536132812,1.0617200643067364,0.941318690776825,-0.01111543644219637,-0.03343319892883301,0.9999544620513916,0.0017207807597020496
5,638.5446166992188,0.13933494687080383,536.10009765625,1.1908322379922365,0.941514253616333,-0.01114042941480875,-0.032925043255090714,0.9999114274978638,0.008484231140279389
6,705.9649047851562,0.1393279731273651,536.4591674804688,1.3157116111490819,0.9418990612030029,-0.011144754476845264,-0.03284621611237526,0.9999275207519531,0.0017068245179481121
7,766.4447021484375,0.13933348655700684,533.4542236328125,1.4364969514844825,0.9425085783004761,-0.011110994964838028,-0.032313715666532516,0.999906063079834,0.005740492507909188
8,826.938720703125,0.1393277645111084,532.2780151367188,1.5533224773590808,0.9424364566802979,-0.011098885908722878,-0.03245386853814125,0.999912440776825,0.0010052980595364332
9,888.7737426757812,0.13932691514492035,533.2921752929688,1.6663180069322696,0.9424300789833069,-0.011110281571745872,-0.032506007701158524,0.9999092817306519,0.0019128664488720333
10,945.6113891601562,0.1393095999956131,532.4776000976562,1.7756091024179483,0.9418185949325562,-0.011100939474999905,-0.03309481218457222,0.9999322295188904,0.004044673164857686
11,999.54248046875,0.13930900394916534,531.2252197265625,1.8813172096110131,0.9414427876472473,-0.011086804792284966,-0.03334146738052368,0.9999476075172424,0.0005878299969511091
12,1054.1435546875,0.139308363199234,531.3700561523438,1.983559792839623,0.9413625001907349,-0.011088288389146328,-0.0333905965089798,0.999950110912323,0.0008849052563026012
13,1107.6275634765625,0.13930079340934753,531.8197631835938,2.0824504654932063,0.9411584734916687,-0.011093240231275558,-0.03353743255138397,0.9999550580978394,0.005423729672335099
14,1159.248046875,0.13929899036884308,532.165283203125,2.1780991162712477,0.9409579634666443,-0.011097174137830734,-0.033590152859687805,0.9999600052833557,0.0009760929507864512
15,1206.2435302734375,0.13929761946201324,531.1802368164062,2.2706120312931497,0.941035270690918,-0.011086453683674335,-0.033494748175144196,0.9999507665634155,0.0008193559620594169
16,1245.5731201171875,0.13929930329322815,527.7056274414062,2.3600920122048565,0.9412383437156677,-0.01104789413511753,-0.033294036984443665,0.9999357461929321,0.0015375045491309322
17,1290.151123046875,0.13929839432239532,527.2588500976562,2.446638490413483,0.9413202404975891,-0.011043095961213112,-0.0332365408539772,0.9999329447746277,0.0011736322282483809
18,1336.6986083984375,0.13929732143878937,528.2117309570312,2.5303476375768814,0.9413321614265442,-0.011053808033466339,-0.03319494053721428,0.9999344944953918,0.0008089256538059851
19,1378.7255859375,0.13929636776447296,527.9285278320312,2.6113124724709373,0.9414114356040955,-0.01105085201561451,-0.03308768942952156,0.9999328255653381,0.0009111966997913594
20,1419.9990234375,0.13929630815982819,527.9028930664062,2.689622964353336,0.9414146542549133,-0.011050879955291748,-0.03293069824576378,0.9999270439147949,0.0010274362064017
21,1461.3807373046875,0.1392950564622879,528.407958984375,2.765366132938657,0.9413401484489441,-0.01105651818215847,-0.032960254698991776,0.9999262094497681,0.0009025491496640775
22,1500.4095458984375,0.13929300010204315,528.5198364257812,2.8386261450959025,0.9412775635719299,-0.011057624593377113,-0.03310886025428772,0.9999269247055054,0.0004958570407089547
23,1537.51318359375,0.13929234445095062,528.4008178710938,2.9094844083758984,0.9412196278572083,-0.011056111194193363,-0.03324326127767563,0.9999268054962158,0.0007358627044281769
24,1575.1400146484375,0.13929150998592377,528.8751831054688,2.978019661472503,0.9411930441856384,-0.011061328463256359,-0.0332888625562191,0.9999254941940308,0.0008307880553668198
25,1611.112060546875,0.1392897516489029,529.1753540039062,3.044308061718148,0.9411959648132324,-0.011064768768846989,-0.03329089283943176,0.999922513961792,0.0007976316531066493
26,1644.26708984375,0.13928794860839844,528.9266357421875,3.1084232697109315,0.9412643909454346,-0.011062159202992916,-0.033239416778087616,0.9999160170555115,0.0008329296126478749
27,1674.6044921875,0.13928699493408203,528.1497192382812,3.170436531167304,0.9413758516311646,-0.011053578928112984,-0.03314821049571037,0.9999045729637146,0.0009061849244529971
28,1702.93408203125,0.13928575813770294,527.113037109375,3.230416756091308,0.9414748549461365,-0.011042056605219841,-0.033062078058719635,0.9998927116394043,0.0013687104286245675
29,1729.4156494140625,0.13928216695785522,525.8667602539062,3.288430595348337,0.9415702819824219,-0.011028139851987362,-0.03299236297607422,0.9998822808265686,0.0009242891464879457
30,1752.7742919921875,0.1392776370048523,524.0283203125,3.3445425147285093,0.9416474103927612,-0.011007506400346756,-0.032926976680755615,0.9998694062232971,0.001039904366905659
31,1775.0906982421875,0.13927188515663147,522.2265625,3.3988148665819615,0.9416848421096802,-0.010987131856381893,-0.03287285193800926,0.9998509883880615,0.0013756290294097279
32,1797.1920166015625,0.13926391303539276,520.6874389648438,3.4513079591056446,0.9417290687561035,-0.010969680733978748,-0.032793935388326645,0.9998251795768738,0.001946838515773602
